,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
0,4.7309e-23,280.0,4.428571428571429,4.221380593132153e-07,-0.0
1,1.2306999999999998e-21,280.5,4.420677361853833,1.1040467010616177e-05,7.23892553435831e-27
2,5.689499999999999e-21,281.0,4.412811387900356,5.1313272010560284e-05,4.6476756497755275e-26
3,1.5662e-19,281.5,4.404973357015986,0.001420100447284933,9.691156505396813e-25
4,1.1946e-18,282.0,4.397163120567376,0.01088946347099376,8.66036403302258e-24
5,4.5436e-18,282.5,4.389380530973451,0.04163821413800323,4.136447260524676e-23
6,1.8452e-17,283.0,4.381625441696113,0.16999627281315036,1.7266401984283106e-22
7,3.536e-17,283.5,4.37389770723104,0.3274975783932753,4.802240502532067e-22
8,7.267e-16,284.0,4.366197183098592,6.766231105619145,4.8502583638755165e-21
9,2.4856e-15,284.5,4.3585237258347975,23.265623697767637,2.3286110714776944e-20
10,8.0142e-15,285.0,4.350877192982456,75.41042760430216,8.364848415642338e-20
11,4.2613e-14,285.5,4.343257443082312,403.0854248780059,3.7532998209016055e-19
12,1.3684e-13,286.0,4.335664335664336,1301.2112574141518,1.4106026045496917e-18
13,8.3823e-13,286.5,4.328097731239093,8012.604857250644,7.048519582879417e-18
14,2.7367e-12,287.0,4.320557491289199,26297.201214595796,2.774485321616436e-17
15,1.0903e-11,287.5,4.3130434782608695,105316.44870785845,1.068605876340257e-16
16,6.2337e-11,288.0,4.305555555555555,605285.1346514048,5.325349660714682e-16
17,1.7162e-10,288.5,4.298093587521664,1675104.85412839,1.8938307421579374e-15
18,5.6265e-10,289.0,4.290657439446367,5520373.958543346,6.174362416053155e-15
19,2.0749e-09,289.5,4.2832469775474955,20463481.43876313,2.1578552048654817e-14
20,6.0168e-09,290.0,4.275862068965517,59648045.33038502,6.890785617288606e-14
21,1.3783e-08,290.5,4.268502581755594,137346884.74545357,1.848903896379138e-13
22,3.5052e-08,291.0,4.261168384879725,351098049.6764439,4.714784946035904e-13
23,1.0913e-07,291.5,4.253859348198971,1098743906.4080179,1.3192343376689614e-12
24,2.683e-07,292.0,4.2465753424657535,2715225314.7762747,3.541712231542754e-12
25,4.2685e-07,292.5,4.239316239316239,4341997249.734265,7.640040755131626e-12
26,8.6466e-07,293.0,4.2320819112627985,8840663829.840336,1.5269456344489146e-11
27,2.2707e-06,293.5,4.2248722316865415,23335694132.297295,3.382795481152595e-11
28,4.1744e-06,294.0,4.217687074829932,43119399099.895935,7.202717631503799e-11
29,6.5911e-06,294.5,4.2105263157894735,68430615327.14846,1.3592979825677908e-10
30,1.229e-05,295.0,4.203389830508475,128249174342.31917,2.4821799218046245e-10
31,2.7826e-05,295.5,4.196277495769881,291850124872.26447,4.872489393374765e-10
32,4.7904e-05,296.0,4.1891891891891895,504990907804.3704,9.391092221924477e-10
33,7.1345e-05,296.5,4.18212478920742,755917295910.8857,1.6517140134995451e-09
34,9.68e-05,297.0,4.175084175084175,1030816477952.654,2.6580902569190184e-09
35,0.00018608,297.5,4.168067226890757,1991577699214.6855,4.3547289258207675e-09
36,0.00028988,298.0,4.1610738255033555,3118198023283.039,7.2135059359827e-09
37,0.00035789,298.5,4.1541038525963145,3869182520393.492,1.1109654182431528e-08
38,0.00049211,299.0,4.147157190635451,5347027309967.644,1.623140572258373e-08
39,0.00086068,299.5,4.140233722871453,9398722743811.377,2.4398743734849372e-08
40,0.0010205,300.0,4.133333333333334,11199881308532.775,3.5769815087061473e-08
41,0.001245,300.5,4.126455906821963,13732178102491.305,4.948728759717672e-08
42,0.00193,301.0,4.119601328903655,21394071495349.89,6.8749336784885e-08
43,0.0026914,301.5,4.112769485903814,29983121491478.207,9.682941008556684e-08
44,0.0029209,302.0,4.105960264900662,32701988735366.816,1.3097635161689078e-07
45,0.004284,302.5,4.099173553719008,48201687872943.234,1.7490194255085355e-07
46,0.0070945,303.0,4.092409240924092,80220677517519.2,2.443970664999775e-07
47,0.0089795,303.5,4.085667215815486,102038693208393.95,3.427008467970027e-07
48,0.0094701,304.0,4.078947368421052,108146374027055.17,4.5569377290988983e-07
49,0.011953,304.5,4.072249589490969,137175154316030.23,5.87142522000457e-07
50,0.016463,305.0,4.065573770491803,189865100389812.03,7.618034456690398e-07
51,0.018719,305.5,4.058919803600655,216946643368165.1,9.78356395580717e-07
52,0.018577,306.0,4.052287581699346,216359768239464.16,1.208259137424043e-06
53,0.021108,306.5,4.045676998368679,247044488360309.88,1.4533289337471512e-06
54,0.027849,307.0,4.039087947882736,327537763034518.1,1.7562050507685131e-06
55,0.035635,307.5,4.032520325203252,421161603469134.25,2.1495790459337126e-06
56,0.037837,308.0,4.025974025974026,449371465166493.2,2.6054806424316943e-06
57,0.04143,308.5,4.019448946515397,494443970696519.56,3.0981582994946243e-06
58,0.040534,309.0,4.0129449838187705,486106634481497.06,3.6083554641532353e-06
59,0.043306,309.5,4.006462035541196,521875223291066.4,4.131131004047097e-06
60,0.050939,310.0,4.0,616839453125000.0,4.719804180869643e-06
61,0.06554,310.5,3.993558776167472,797494869131479.4,5.448607696364128e-06
62,0.082922,311.0,3.987138263665595,1013882395853115.1,6.37900532640005e-06
63,0.08408,311.5,3.980738362760835,1033007567463092.0,7.426996760653802e-06
64,0.093376,312.0,3.9743589743589745,1152751497190426.5,8.542501242758748e-06
65,0.098984,312.5,3.968,1227868087085799.2,9.753565154349547e-06
66,0.10733,313.0,3.961661341853035,1337798759840823.5,1.1054595959283079e-05
67,0.10757,313.5,3.955342902711324,1347225986028856.0,1.2411809195344385e-05
68,0.11969,314.0,3.949044585987261,1506202826385276.0,1.3849553068156401e-05
69,0.1306,314.5,3.942766295707472,1651360047893226.5,1.5435480772268852e-05
70,0.13625,315.0,3.9365079365079363,1731030895856367.5,1.7128938170608196e-05
71,0.11838,315.5,3.9302694136291603,1511169130390909.2,1.874706129391314e-05
72,0.12348,316.0,3.9240506329113924,1583778764828304.0,2.028680547737597e-05
73,0.15036,316.5,3.9178515007898893,1937715918848774.2,2.2033222342118777e-05
74,0.17158,317.0,3.911671924290221,2221677911412265.8,2.408948573142652e-05
75,0.18245,317.5,3.905511811023622,2373622792508922.0,2.6354091557845343e-05
