AM15_G_wav	wavelength
1.5595	561
1.4847	562
1.5408	563
1.5106	564
1.5201	565
1.4374	566
1.532	567
1.518	568
1.4807	569
1.4816	570
1.4331	571
1.5134	572
1.5198	573
1.5119	574
1.4777	575
1.4654	576
1.5023	577
1.456	578
1.477	579
1.502	580
1.5089	581
1.532	582
1.5479	583
1.5448	584
1.5324	585
1.4953	586
1.5281	587
1.4934	588
1.2894	589
1.3709	590
1.4662	591
1.4354	592
1.4561	593
1.4491	594
1.4308	595
1.4745	596
1.4788	597
1.4607	598
1.4606	599
1.4753	600
1.4579	601
1.436	602
1.4664	603
1.4921	604
1.4895	605
1.4822	606
1.4911	607
1.4862	608
1.4749	609
1.4686	610
1.4611	611
1.4831	612
1.4621	613
1.4176	614
1.4697	615
1.431	616
1.4128	617
1.4664	618
1.4733	619
1.4739	620
1.4802	621
1.4269	622
1.4165	623
1.4118	624
1.4026	625
1.4012	626
1.4417	627
1.3631	628
1.4114	629
1.3924	630
1.4161	631
1.3638	632
1.4508	633
1.4284	634
1.4458	635
1.4128	636
1.461	637
1.4707	638
1.4646	639
1.434	640
1.4348	641
1.4376	642
1.4525	643
1.4462	644
1.4567	645
1.415	646
1.4086	647
1.3952	648
1.3519	649
1.3594	650
1.4447	651
1.3871	652
1.4311	653
1.4153	654
1.3499	655
1.1851	656
1.2393	657
1.3855	658
1.3905	659
1.3992	660
1.3933	661
1.3819	662
1.3844	663
1.3967	664
1.4214	665
1.4203	666
1.4102	667
1.415	668
1.4394	669
1.4196	670
1.4169	671
1.3972	672
1.4094	673
1.4074	674
1.3958	675
1.412	676
1.3991	677
1.4066	678
1.3947	679
1.3969	680
1.3915	681
1.3981	682
1.383	683
1.3739	684
1.3748	685
1.3438	686
0.96824	687
1.1206	688
1.1278	689
1.1821	690
1.2333	691
1.2689	692
1.2609	693
1.2464	694
1.2714	695
1.2684	696
1.3403	697
1.3192	698
1.2918	699
1.2823	700
1.2659	701
1.2674	702
1.2747	703
1.3078	704
1.3214	705
1.3144	706
1.309	707
1.3048	708
1.3095	709
1.3175	710
1.3155	711
1.3071	712
1.2918	713
1.3029	714
1.2587	715
1.2716	716
1.1071	717
1.0296	718
0.92318	719
0.9855	720
1.0861	721
1.2407	722
1.1444	723
1.0555	724
1.038	725
1.0813	726
1.085	727
1.04	728
1.0466	729
1.1285	730
1.0703	731
1.1534	732
1.1962	733
1.2357	734
1.2178	735
1.2059	736
1.2039	737
1.2269	738
1.1905	739
1.2195	740
1.2148	741
1.2153	742
1.2405	743
1.2503	744
1.2497	745
1.247	746
1.2477	747
1.2401	748
1.2357	749
1.2341	750
1.2286	751
1.233	752
1.2266	753
1.242	754
1.2383	755
1.2232	756
1.2221	757
1.2295	758
1.1945	759
0.26604	760
0.15396	761
0.68766	762
0.37952	763
0.53878	764
0.68601	765
0.8146099999999999	766
0.97417	767
1.1138	768
1.1278	769
1.1608	770
1.1686	771
1.1778	772
1.1771	773
1.1771	774
1.1771	775
1.1798	776
1.1727	777
1.1713	778
1.1765	779
1.1636	780
1.1607	781
1.1662	782
1.1614	783
1.1536	784
1.1586	785
1.1592	786
1.145	787
1.1305	788
1.1257	789
1.091	790
1.1058	791
1.0953	792
1.0875	793
1.0972	794
1.0932	795
1.0742	796
1.0913	797
1.1121	798
1.0905	799
1.0725	800
1.0843	801
1.0856	802
1.0657	803
1.0782	804
1.0545	805
1.0974	806
1.0859	807
1.0821	808
1.0548	809
1.0559	810
1.0533	811
1.0268	812
1.0086	813
0.90356	814
0.89523	815
0.83216	816
0.85183	817
0.82259	818
0.9051900000000001	819
0.86188	820
0.99764	821
0.95157	822
0.67271	823
0.93506	824
0.96935	825
0.93381	826
0.98465	827
0.84979	828
0.9293	829
0.91601	830
0.92392	831
0.8942600000000001	832
0.9565	833
0.93412	834
1.0032	835
0.97234	836
1.0092	837
0.99901	838
1.0013	839
1.0157	840
1.0101	841
0.99703	842
1.0053	843
0.98631	844
1.0165	845
1.0187	846
0.9917	847
0.99217	848
0.9859599999999999	849
0.89372	850
0.97493	851
0.96927	852
0.9648600000000001	853
0.85112	854
0.913	855
0.97317	856
0.99166	857
0.99196	858
0.99171	859
0.98816	860
0.9867899999999999	861
0.99449	862
1.0005	863
0.97916	864
0.96324	865
0.849	866
0.9154600000000001	867
0.9592000000000001	868
0.94956	869
0.96755	870
0.95387	871
0.9668600000000001	872
0.95721	873
0.94042	874
0.92687	875
0.95277	876
0.9561500000000001	877
0.95237	878
0.9365599999999999	879
0.93957	880
0.90861	881
0.93245	882
0.92927	883
0.93305	884
0.94423	885
0.90752	886
0.91062	887
0.92228	888
0.93455	889
0.92393	890
0.92584	891
0.90881	892
0.87327	893
0.8512999999999999	894
0.81357	895
0.76253	896
0.66566	897
0.7178	898
0.54871	899
0.7426	900
0.59933	901
0.66791	902
0.68889	903
0.84457	904
0.81709	905
0.77558	906
0.63854	907
0.65217	908
0.70431	909
0.6246699999999999	910
0.66808	911
0.68893	912
0.62834	913
0.62649	914
0.67836	915
0.57646	916
0.73017	917
0.59271	918
0.73877	919
0.74414	920
0.78049	921
0.70026	922
0.74504	923
0.7215	924
0.7111	925
0.70331	926
0.78742	927
0.58968	928
0.55127	929
0.4321	930
0.40921	931
0.30086	932
0.24841	933
0.1438	934
0.25084	935
0.16142	936
0.16338	937
0.20058	938
0.39887	939
0.47181	940
0.37195	941
0.40532	942
0.27834	943
0.28579	944
0.36821	945
0.19461	946
0.37112	947
0.27423	948
0.49396	949
0.14726	950
0.48378	951
0.26891	952
0.34362	953
0.42411	954
0.34117	955
0.32821	956
0.27067	957
0.46101	958
0.37385	959
0.42066	960
0.4612	961
0.44174	962
0.50503	963
0.4586	964
0.50374	965
0.50275	966
0.5024	967
0.6521	968
0.6862200000000001	969
0.63461	970
0.71397	971
0.68765	972
0.60648	973
0.57529	974
0.58987	975
0.57191	976
0.63864	977
0.61509	978
0.63815	979
0.60468	980
0.71338	981
0.69218	982
0.66865	983
0.73732	984
0.6881699999999999	985
0.75083	986
0.73928	987
0.7346200000000001	988
0.7490599999999999	989
0.73227	990
0.75358	991
0.75102	992
0.73728	993
0.7541	994
0.75176	995
0.74884	996
0.73971	997
0.73887	998
0.7385699999999999	999
0.73532	1000
0.74442	1001
0.72805	1002
0.73442	1003
0.72336	1004
0.68174	1005
0.71252	1006
0.72753	1007
0.72685	1008
0.71972	1009
0.71914	1010
0.72278	1011
0.71877	1012
0.71761	1013
0.72068	1014
0.70817	1015
0.71129	1016
0.7033700000000001	1017
0.71422	1018
0.6887799999999999	1019
0.69896	1020
0.70175	1021
0.6897	1022
0.69508	1023
0.69058	1024
0.69753	1025
0.69636	1026
0.6930500000000001	1027
0.69385	1028
0.68628	1029
0.69055	1030
0.68736	1031
0.68787	1032
0.67613	1033
0.68015	1034
0.6823399999999999	1035
0.68202	1036
0.67497	1037
0.67172	1038
0.67636	1039
0.6717	1040
0.67176	1041
0.672	1042
0.66525	1043
0.66833	1044
0.66452	1045
0.64714	1046
0.65694	1047
0.66274	1048
0.65896	1049
0.65463	1050
0.65521	1051
0.65118	1052
0.64919	1053
0.64646	1054
0.64847	1055
0.64641	1056
0.6448199999999999	1057
0.63818	1058
0.61875	1059
0.63585	1060
0.62121	1061
0.63266	1062
0.62239	1063
0.63196	1064
0.62913	1065
0.61713	1066
0.62032	1067
0.61944	1068
0.58626	1069
0.6046899999999999	1070
0.61661	1071
0.61536	1072
0.60363	1073
0.62158	1074
0.59252	1075
0.61471	1076
0.60434	1077
0.60321	1078
0.6047400000000001	1079
0.59722	1080
0.58083	1081
0.5894	1082
0.59814	1083
0.57852	1084
0.5933	1085
0.5541	1086
0.56697	1087
0.59317	1088
0.57919	1089
0.5557299999999999	1090
0.58835	1091
0.58124	1092
0.51058	1093
0.53965	1094
0.52067	1095
0.50323	1096
0.57852	1097
0.50291	1098
0.5077199999999999	1099
0.48577	1100
0.49696	1101
0.46883	1102
0.46637	1103
0.46765	1104
0.50644	1105
0.39792	1106
0.48304	1107
0.41565	1108
0.41278	1109
0.47899	1110
0.33154	1111
0.41357	1112
0.2685	1113
0.29985	1114
0.24987	1115
0.20136	1116
0.07961799999999999	1117
0.21753	1118
0.11317	1119
0.14189	1120
0.18586	1121
0.08168599999999999	1122
0.12817	1123
0.1087	1124
0.14428	1125
0.051589	1126
0.15725	1127
0.09922400000000001	1128
0.10591	1129
0.070574	1130
0.2956	1131
0.23411	1132
0.15331	1133
0.04174	1134
0.015462	1135
0.12876	1136
0.28785	1137
0.20329	1138
0.2985	1139
0.25599	1140
0.19337	1141
0.22479	1142
0.31183	1143
0.11326	1144
0.14604	1145
0.15764	1146
0.059176	1147
0.27113	1148
0.21854	1149
0.12164	1150
0.2034	1151
0.24762	1152
0.23812	1153
0.14248	1154
0.31316	1155
0.2809	1156
0.31458	1157
0.31171	1158
0.33693	1159
0.28648	1160
0.34753	1161
0.35002	1162
0.46857	1163
0.40188	1164
0.3886	1165
0.37494	1166
0.40996	1167
0.41954	1168
0.4231	1169
0.45873	1170
0.44831	1171
0.45483	1172
0.45642	1173
0.33692	1174
0.4524	1175
0.47679	1176
0.47235	1177
0.36	1178
0.48371	1179
0.44069	1180
0.45514	1181
0.32318	1182
0.4387	1183
0.41985	1184
0.40741	1185
0.47715	1186
0.45575	1187
0.33504	1188
0.41569	1189
0.46239	1190
0.4466	1191
0.47336	1192
0.45434	1193
0.4689	1194
0.44696	1195
0.43131	1196
0.47715	1197
0.43392	1198
0.36489	1199
0.44825	1200
0.43708	1201
0.43717	1202
0.43409	1203
0.36247	1204
0.43692	1205
0.48086	1206
0.42986	1207
0.43346	1208
0.41428	1209
0.45336	1210
0.42232	1211
0.42489	1212
0.46956	1213
0.43407	1214
0.4278	1215
0.4664	1216
0.45528	1217
0.45934	1218
0.44663	1219
0.45805	1220
0.46531	1221
0.45139	1222
0.44406	1223
0.44808	1224
0.46236	1225
0.46819	1226
0.43304	1227
0.46658	1228
0.46721	1229
0.46003	1230
0.47203	1231
0.46633	1232
0.45397	1233
0.47016	1234
0.46504	1235
0.46908	1236
0.46339	1237
0.46797	1238
0.46272	1239
0.46077	1240
0.46197	1241
0.46247	1242
0.45754	1243
0.45528	1244
0.45655	1245
0.45945	1246
0.45746	1247
0.4586	1248
0.45966	1249
0.45705	1250
0.45258	1251
0.45097	1252
0.44773	1253
0.44363	1254
0.4507	1255
0.44023	1256
0.43532	1257
0.44496	1258
0.42725	1259
0.4311	1260
0.41146	1261
0.39567	1262
0.40019	1263
0.37148	1264
0.3957	1265
0.38527	1266
0.38822	1267
0.37051	1268
0.24652	1269
0.38744	1270
0.40825	1271
0.40879	1272
0.40625	1273
0.40614	1274
0.41233	1275
0.41693	1276
0.42001	1277
0.42763	1278
0.42456	1279
0.42204	1280
0.41335	1281
0.37305	1282
0.40733	1283
0.42078	1284
0.42399	1285
0.42714	1286
0.42213	1287
0.41989	1288
0.40936	1289
0.41285	1290
0.41786	1291
0.39618	1292
0.41257	1293
0.40421	1294
0.40514	1295
0.38957	1296
0.3713	1297
0.39183	1298
0.40852	1299
0.35312	1300
0.36228	1301
0.39181	1302
0.34621	1303
0.30062	1304
0.38382	1305
0.38453	1306
0.30594	1307
0.34696	1308
0.38413	1309
0.30114	1310
0.33366	1311
0.33337	1312
0.31352	1313
0.28833	1314
0.28581	1315
0.32419	1316
0.31217	1317
0.33328	1318
0.26855	1319
0.25872	1320
0.29866	1321
0.30217	1322
0.23279	1323
0.26249	1324
0.32224	1325
0.28051	1326
0.26625	1327
0.2345	1328
0.17759	1329
0.22923	1330
0.1448	1331
0.14579	1332
0.20304	1333
0.16925	1334
0.23117	1335
0.18348	1336
0.16454	1337
0.17804	1338
0.17681	1339
0.16831	1340
0.17039	1341
0.17798	1342
0.12711	1343
0.075645	1344
0.10904	1345
0.058186	1346
0.060119	1347
0.0047451	1348
0.016159	1349
0.016025	1350
0.0046298	1351
0.0015164	1352
9.6096e-05	1353
0.00029009	1354
3.6034e-06	1355
4.807e-05	1356
7.178599999999999e-05	1357
4.1948e-06	1358
7.343899999999999e-07	1359
2.1404e-06	1360
4.8133e-09	1361
1.8076e-11	1362
3.1563e-06	1363
1.3589e-06	1364
9.0764e-12	1365
1.2791e-05	1366
4.9764e-06	1367
1.481e-13	1368
5.1667e-07	1369
2.92e-07	1370
1.9731e-08	1371
2.7498e-06	1372
4.4401e-05	1373
0.00017917	1374
0.00032332	1375
0.00025748	1376
0.0001227	1377
0.0011089	1378
5.2164e-05	1379
8.1587e-05	1380
2.3716e-06	1381
2.5672e-06	1382
4.4017e-08	1383
6.1689e-07	1384
2.0899e-06	1385
2.5215e-06	1386
0.00019896	1387
4.0262e-06	1388
0.00058098	1389
0.00049328	1390
0.00034384	1391
2.3782e-05	1392
0.00011586	1393
7.552599999999999e-05	1394
6.7136e-07	1395
6.3215e-09	1396
4.9057e-05	1397
0.0012704	1398
0.00081226	1399
3.2466e-09	1400
1.0528e-08	1401
0.0018353	1402
0.00238	1403
0.00073892	1404
3.6444e-07	1405
0.0020448	1406
0.00017457	1407
0.0016493	1408
0.00061919	1409
0.00046653	1410
0.0021142	1411
0.0026396	1412
0.023353	1413
0.00036378	1414
0.00018366	1415
0.035565	1416
0.011759	1417
0.013559	1418
0.0021442	1419
0.008271799999999999	1420
0.0091637	1421
0.046314	1422
0.0092198	1423
0.016975	1424
0.02585	1425
0.027792	1426
0.049546	1427
0.0045588	1428
0.03802	1429
0.061601	1430
0.050156	1431
0.0025194	1432
0.035834	1433
0.020962	1434
0.021416	1435
0.038351	1436
0.02988	1437
0.013263	1438
0.051039	1439
0.039601	1440
0.0318	1441
0.036317	1442
0.045063	1443
0.061791	1444
0.049751	1445
0.023095	1446
0.036215	1447
0.11569	1448
0.10213	1449
0.027412	1450
0.011271	1451
0.062361	1452
0.081978	1453
0.13759	1454
0.06615	1455
0.088509	1456
0.117	1457
0.13643	1458
0.16307	1459
0.085421	1460
0.090276	1461
0.1306	1462
0.043225	1463
0.15184	1464
0.09338299999999999	1465
0.065197	1466
0.036054	1467
0.076942	1468
0.094845	1469
0.049678	1470
0.017848	1471
0.046771	1472
0.070198	1473
0.09733899999999999	1474
0.18463	1475
0.06877800000000001	1476
0.06973600000000001	1477
0.06347999999999999	1478
0.12001	1479
0.060637	1480
0.11529	1481
0.05849	1482
0.14859	1483
0.13747	1484
0.12503	1485
0.1234	1486
0.060629	1487
0.09418	1488
0.18973	1489
0.17478	1490
0.19778	1491
0.16441	1492
0.18157	1493
0.20367	1494
0.18253	1495
0.16852	1496
0.2285	1497
0.18968	1498
0.21759	1499
0.25061	1500
0.26552	1501
0.23356	1502
0.18493	1503
0.16029	1504
0.18402	1505
0.25773	1506
0.25514	1507
0.24302	1508
0.1869	1509
0.27052	1510
0.26474	1511
0.26068	1512
0.24239	1513
0.22571	1514
0.26573	1515
0.25683	1516
0.24929	1517
0.25211	1518
