AM15_G_wav	wavelength
2.9315e-42	2705
1.125e-35	2710
3.8557e-26	2715
5.6052e-45	2720
7.2935e-22	2725
6.0734e-19	2730
5.4888e-21	2735
2.3314e-27	2740
1.3146e-23	2745
1.6648e-28	2750
6.7262e-44	2755
0	2760
2.6777e-27	2765
8.3791e-24	2770
3.999e-38	2775
4.8067e-34	2780
3.8866e-27	2785
1.217e-16	2790
3.6205e-16	2795
1.6484e-12	2800
6.7478e-14	2805
4.0233e-10	2810
2.8685e-10	2815
2.0548e-11	2820
1.7605e-07	2825
3.9008e-06	2830
2.1276e-10	2835
1.9609e-07	2840
4.0575e-05	2845
1.1566e-06	2850
4.4867e-07	2855
2.5356e-05	2860
0.00016763	2865
6.3129e-06	2870
0.0003917	2875
0.00024724	2880
0.00045332	2885
0.00018623	2890
0.0026643	2895
0.00081152	2900
0.00011096	2905
0.002722	2910
0.0012581	2915
0.0028948	2920
0.0010835	2925
0.0058858	2930
0.0064903	2935
0.0016273	2940
0.0014489	2945
0.0052276	2950
0.0023361	2955
0.0045971	2960
0.0074379	2965
0.00035233	2970
0.00085429	2975
0.0013381	2980
0.0069628	2985
0.01028	2990
0.0042755	2995
0.0078472	3000
0.0028906	3005
0.0068479	3010
0.0055551	3015
0.00063369	3020
0.0075031	3025
0.0060753	3030
0.0024986	3035
0.0020242	3040
0.004209	3045
0.0010321	3050
0.00028947	3055
0.0063012	3060
0.0029113	3065
0.0017492	3070
0.0060221	3075
0.0036224	3080
0.0017671	3085
0.0023805	3090
0.0006551	3095
0.004401	3100
0.00092155	3105
0.00084569	3110
0.0022677	3115
0.009819700000000001	3120
0.0030289	3125
0.0057614	3130
0.011446	3135
0.0033241	3140
0.0032517	3145
0.0066744	3150
0.0056366	3155
0.009232000000000001	3160
0.014017	3165
0.012516	3170
0.009230199999999999	3175
0.010621	3180
0.008082300000000001	3185
0.0042388	3190
0.0026927	3195
0.00043843	3200
0.00030973	3205
0.00013634	3210
0.00049752	3215
0.0016089	3220
0.00019875	3225
0.0003408	3230
0.007294	3235
0.0037464	3240
0.00073409	3245
0.0026067	3250
0.0099378	3255
0.0012248	3260
0.0024465	3265
0.0012186	3270
0.0059265	3275
0.0028644	3280
0.011128	3285
0.0087571	3290
0.0012234	3295
0.0017794	3300
0.0039416	3305
0.0039235	3310
1.6133e-05	3315
5.9987e-05	3320
0.0035187	3325
0.0046616	3330
0.0090694	3335
0.0034602	3340
0.0035408	3345
0.0080277	3350
0.0036308	3355
0.0052402	3360
0.0071907	3365
0.0039389	3370
0.008456	3375
0.0051115	3380
0.0074896	3385
0.0098552	3390
0.009546499999999999	3395
0.012509	3400
0.0044594	3405
0.0070802	3410
0.0072774	3415
0.013165	3420
0.010006	3425
0.008689199999999999	3430
0.011553	3435
0.0080348	3440
0.011318	3445
0.011153	3450
0.008308899999999999	3455
0.01253	3460
0.009817899999999999	3465
0.012264	3470
0.010943	3475
0.011224	3480
0.012094	3485
0.010419	3490
0.012265	3495
0.011917	3500
0.011809	3505
0.011963	3510
0.011494	3515
0.012122	3520
0.011428	3525
0.011127	3530
0.0094556	3535
0.009031000000000001	3540
0.0095432	3545
0.010538	3550
0.009058099999999999	3555
0.010795	3560
0.010851	3565
0.008337600000000001	3570
0.0086444	3575
0.010187	3580
0.009167099999999999	3585
0.0094523	3590
0.00967	3595
0.010262	3600
0.010359	3605
0.0094787	3610
0.009472599999999999	3615
0.011614	3620
0.010239	3625
0.009955	3630
0.010299	3635
0.01148	3640
0.010599	3645
0.010123	3650
0.010978	3655
0.010914	3660
0.010253	3665
0.007900300000000001	3670
0.0048286	3675
0.0083312	3680
0.009438	3685
0.0096922	3690
0.010132	3695
0.010878	3700
0.01077	3705
0.009364000000000001	3710
0.0092254	3715
0.010376	3720
0.010698	3725
0.0092707	3730
0.0085837	3735
0.0088494	3740
0.010331	3745
0.0092903	3750
0.008991799999999999	3755
0.008863299999999999	3760
0.008550200000000001	3765
0.0091243	3770
0.0090521	3775
0.009574600000000001	3780
0.0088123	3785
0.0077564	3790
0.008869200000000001	3795
0.0098592	3800
0.0093049	3805
0.0082451	3810
0.0077569	3815
0.009655	3820
0.009505599999999999	3825
0.0095925	3830
0.0076916	3835
0.0089756	3840
0.008780100000000001	3845
0.008827399999999999	3850
0.0085085	3855
0.007993999999999999	3860
0.008098899999999999	3865
0.0073604	3870
0.006762	3875
0.006534	3880
0.0067717	3885
0.0068818	3890
0.007476	3895
0.007925400000000001	3900
0.007926900000000001	3905
0.0071353	3910
0.0069868	3915
0.0069466	3920
0.006852	3925
0.0070502	3930
0.0073541	3935
0.0074027	3940
0.0075412	3945
0.0076277	3950
0.0077199	3955
0.0077482	3960
0.0078057	3965
0.0076806	3970
0.0075097	3975
0.0073872	3980
0.0074327	3985
0.0073723	3990
0.00721	3995
0.0071043	4000
